file,set,mem
00016200.jpg,lamem,0.8461245999999999
n07690273_20912.jpg,memcat,0.81
n04465501_2499.jpg,memcat,0.71875
00057691.jpg,lamem,0.9291056
00056578.jpg,lamem,0.6471988
00006717.jpg,lamem,0.7317458
00023178.jpg,lamem,0.8497036
00045526.jpg,lamem,0.6718946
00021469.jpg,lamem,0.8005772
00031901.jpg,lamem,0.7309078
00007147.jpg,lamem,0.8492268
sun_bdfwelxqhaufzyqb.jpg,figrim,0.4225352112676056
00034535.jpg,lamem,0.7256821999999999
6d4783212cb07333.jpg,memcat,0.704347826086957
sun_affymrxwykomevme.jpg,isola,0.6000000238418579
sun_apeekzkajfswlykn.jpg,figrim,0.6617647058823529
00051056.jpg,lamem,0.881958
00012275.jpg,lamem,0.8264661999999999
n03384352_6532.jpg,memcat,0.79646017699115
00054214.jpg,lamem,0.6641824
00021082.jpg,lamem,0.6395236000000001
00018075.jpg,lamem,0.6747662
00006630.jpg,lamem,0.5790664
sun_akeicfgsblregoek.jpg,figrim,0.7285714285714285
00050015.jpg,lamem,0.7571334000000001
n02793495_4056.jpg,memcat,0.83695652173913
00052092.jpg,lamem,0.8061088
00042411.jpg,lamem,0.6746558
00046261.jpg,lamem,0.8044764000000001
00056410.jpg,lamem,0.7884262
00003606.jpg,lamem,0.788523
00013931.jpg,lamem,0.8297930000000001
3fbb59a39708db71.jpg,memcat,0.764705882352941
00052514.jpg,lamem,0.7851562000000001
00052658.jpg,lamem,0.8961092
00023189.jpg,lamem,0.8158448
sun_agbtorupkgxjxawh.jpg,figrim,0.5294117647058824
00049485.jpg,lamem,0.9210074
00017563.jpg,lamem,0.86201
00017451.jpg,lamem,0.773008
00012772.jpg,lamem,0.8179786
00053003.jpg,lamem,0.681129
00021101.jpg,lamem,0.8561835999999999
00014959.jpg,lamem,0.6946906
000000369295.jpg,memcat,0.75
deb4d11e1ecbab40.jpg,memcat,0.760683760683761
00028356.jpg,lamem,0.921077
000000364919.jpg,memcat,0.675
00039094.jpg,lamem,0.8082946
sun_aqftpyuksqtdtceh.jpg,figrim,0.6533333333333333
000000223942.jpg,memcat,0.919191919191919
00005864.jpg,lamem,0.6315725999999999
00014014.jpg,lamem,0.3746326
000000481760.jpg,memcat,0.852272727272727
00026749.jpg,lamem,0.8648156
00049140.jpg,lamem,0.7199332
00025033.jpg,lamem,0.6247263999999999
00011561.jpg,lamem,0.821833
00034456.jpg,lamem,0.6798415999999999
00051074.jpg,lamem,0.9557794
00035186.jpg,lamem,0.707258
00001873.jpg,lamem,0.7911568
00015284.jpg,lamem,0.6087400000000001
00002028.jpg,lamem,0.9082028
n09415671_16184.jpg,memcat,0.62
