file,set,mem
sun_azhdevaibilykmgu.jpg,figrim,0.8153846153846154
sun_aiymyvoddscrtfas.jpg,isola,0.6477272510528564
00020641.jpg,lamem,0.8839722
00030958.jpg,lamem,0.6989608
00040666.jpg,lamem,0.6577242
00056369.jpg,lamem,0.878217
00003737.jpg,lamem,0.8220266
00003076.jpg,lamem,0.7061888
00050637.jpg,lamem,0.9595022
00029439.jpg,lamem,0.6246134
00058027.jpg,lamem,0.7935863999999999
000000216726.jpg,memcat,0.857142857142857
00026806.jpg,lamem,0.6994384
00032292.jpg,lamem,0.7649608000000001
00054875.jpg,lamem,0.7541128
00035317.jpg,lamem,0.7285474
00016993.jpg,lamem,0.8893226000000001
00001958.jpg,lamem,0.6698058
00046965.jpg,lamem,0.593977
00054709.jpg,lamem,0.8170999999999999
00052660.jpg,lamem,0.8890888
00003209.jpg,lamem,0.857918
00024275.jpg,lamem,0.5291678
00031243.jpg,lamem,0.7160382000000001
00032498.jpg,lamem,0.848816
00038585.jpg,lamem,0.8776741999999998
00053795.jpg,lamem,0.7548074
00014027.jpg,lamem,0.646266
00000224.jpg,lamem,0.6713676
00010546.jpg,lamem,0.5354822
00036588.jpg,lamem,0.8633597999999999
00035845.jpg,lamem,0.6245482
00009968.jpg,lamem,0.7023462
00017606.jpg,lamem,0.8058124
00042836.jpg,lamem,0.8060316000000001
00012180.jpg,lamem,0.7056554
00016220.jpg,lamem,0.8318116
00008303.jpg,lamem,0.702303
00013652.jpg,lamem,0.7023628000000001
00056251.jpg,lamem,0.6589018
00005540.jpg,lamem,0.7896698
n07911677_2833.jpg,memcat,0.857142857142857
00016360.jpg,lamem,0.7331488
00021321.jpg,lamem,0.6734548
00007579.jpg,lamem,0.785635
00025470.jpg,lamem,0.4880116
00023087.jpg,lamem,0.8685541999999999
00043202.jpg,lamem,0.8158951999999999
00035554.jpg,lamem,0.7126982
00055137.jpg,lamem,0.8949056000000001
n02450034_5369.jpg,memcat,0.727272727272727
00042299.jpg,lamem,0.8727212
sun_bpjnivyshuqatjzn.jpg,figrim,0.7674418604651163
00026420.jpg,lamem,0.8603776
sun_aawnyrlracbujjia.jpg,isola,0.649350643157959
00012761.jpg,lamem,0.6768076
n07654148_18307.jpg,memcat,0.902173913043478
sun_bhfjjxhrgieolekd.jpg,figrim,0.7848101265822784
00047088.jpg,lamem,0.8015228000000001
00051266.jpg,lamem,0.8414944
00015815.jpg,lamem,0.6973188
00047741.jpg,lamem,0.7340956000000001
00017967.jpg,lamem,0.7038650000000001
00053333.jpg,lamem,0.6631746
00019974.jpg,lamem,0.9193868
00057185.jpg,lamem,0.938804
n03670208_285.jpg,memcat,0.870967741935484
n01846331_14741.jpg,memcat,0.754385964912281
00057705.jpg,lamem,0.8387868
00020654.jpg,lamem,0.5830268000000001
00025210.jpg,lamem,0.8826876
00040460.jpg,lamem,0.9763702
00039007.jpg,lamem,0.6421357999999999
n09359803_22547.jpg,memcat,0.5
000000569223.jpg,memcat,0.88659793814433
00055824.jpg,lamem,0.7585634
00030149.jpg,lamem,0.9257748
00046554.jpg,lamem,0.8206092
00012003.jpg,lamem,0.8260814
00010921.jpg,lamem,0.7611100000000001
00053787.jpg,lamem,0.8734924
n07574602_24289.jpg,memcat,0.819047619047619
sun_aifhluzuuuiygiua.jpg,isola,0.8285714387893677
00009921.jpg,lamem,0.8840078
00053236.jpg,lamem,0.8351027999999999
00027235.jpg,lamem,0.646893
00056406.jpg,lamem,0.8939644
00016002.jpg,lamem,0.748221
00033751.jpg,lamem,0.5787692
n09472597_32918.jpg,memcat,0.804123711340206
00000744.jpg,lamem,0.6120146
sun_avvzajbehfbhnlpt.jpg,isola,0.5340909361839294
00022743.jpg,lamem,0.9676302
00019622.jpg,lamem,0.8107462
00024484.jpg,lamem,0.5803396000000001
sun_actxlkkwndfejjod.jpg,isola,0.7746478915214539
00020268.jpg,lamem,0.9186924
00057023.jpg,lamem,0.5320496
00001787.jpg,lamem,0.8640722000000001
00056539.jpg,lamem,0.9238046
00000266.jpg,lamem,0.781402
00009614.jpg,lamem,0.7645603999999999
00027781.jpg,lamem,0.8991849999999999
00000339.jpg,lamem,0.8911123999999999
n09376198_7248.jpg,memcat,0.65625
00030755.jpg,lamem,0.7566582000000001
00055987.jpg,lamem,0.8638788
00011971.jpg,lamem,0.553526
00011491.jpg,lamem,0.8757004
00011036.jpg,lamem,0.7487208
n07720875_7650.jpg,memcat,0.905172413793103
00006682.jpg,lamem,0.868197
n07801091_64844.jpg,memcat,0.727272727272727
00000358.jpg,lamem,0.8661975999999999
00046797.jpg,lamem,0.8018107999999999
00000270.jpg,lamem,0.8948246000000001
00050896.jpg,lamem,0.7671702
00018674.jpg,lamem,0.8313398
00053362.jpg,lamem,0.6600376
00051661.jpg,lamem,0.8354585999999999
00027202.jpg,lamem,0.8669271999999999
00000376.jpg,lamem,0.8562528
00014226.jpg,lamem,0.5177934000000001
n04465501_3381.jpg,memcat,0.875
00010486.jpg,lamem,0.7431988
00057633.jpg,lamem,0.8660551999999999
00054311.jpg,lamem,0.832018
00046490.jpg,lamem,0.8103210000000001
sun_acxwxdtwxnxulqqs.jpg,isola,0.675000011920929
sun_aieqregvgiaijrnl.jpg,isola,0.494252860546112
00023229.jpg,lamem,0.8702692000000001
00028554.jpg,lamem,0.7618068
00027811.jpg,lamem,0.8461663999999999
00031427.jpg,lamem,0.9069528
00035716.jpg,lamem,0.6027389999999999
00009904.jpg,lamem,0.522888
00054568.jpg,lamem,0.849039
00019214.jpg,lamem,0.909725
00050506.jpg,lamem,0.884135
00044767.jpg,lamem,0.7801074
00004408.jpg,lamem,0.8739382000000001
00021105.jpg,lamem,0.710036
00046058.jpg,lamem,0.7951626
00057610.jpg,lamem,0.830889
00000306.jpg,lamem,0.8335611999999999
00030633.jpg,lamem,0.6300154
00057467.jpg,lamem,0.8460255999999999
n04467665_4940.jpg,memcat,0.699186991869919
00013904.jpg,lamem,0.8506338
00050966.jpg,lamem,0.9014746
n07801508_12917.jpg,memcat,0.851063829787234
00052891.jpg,lamem,0.8931248
00046130.jpg,lamem,0.7860542
00058660.jpg,lamem,0.6801664000000001
00046552.jpg,lamem,0.78971
00016428.jpg,lamem,0.7971836
sun_andvaoamnpthswld.jpg,memcat,0.65979381443299
00021835.jpg,lamem,0.8210179999999999
00038970.jpg,lamem,0.7670926
00023265.jpg,lamem,0.8471354
00018030.jpg,lamem,0.9127652
00027475.jpg,lamem,0.6508362
00031002.jpg,lamem,0.6359716
00019261.jpg,lamem,0.6423732
00038056.jpg,lamem,0.7332110000000001
00011074.jpg,lamem,0.8059322
00054092.jpg,lamem,0.8893774000000001
00056541.jpg,lamem,0.6131048
00004715.jpg,lamem,0.6974132
n02932891_1765.jpg,memcat,0.752577319587629
00017646.jpg,lamem,0.8300876
00035963.jpg,lamem,0.6084037999999999
00005528.jpg,lamem,0.8111854
00026851.jpg,lamem,0.5294708
00004287.jpg,lamem,0.5701592
00051258.jpg,lamem,0.8215743999999999
00057205.jpg,lamem,0.828959
00035169.jpg,lamem,0.5876680000000001
00038939.jpg,lamem,0.7211934
00032854.jpg,lamem,0.7542418
n01811909_897.jpg,memcat,0.733333333333333
00054836.jpg,lamem,0.6047743999999999
simf140.jpg,isola,0.3521126806735992
00057886.jpg,lamem,0.8564312
